path,ext,size_kb,mtime_utc,figure_role,training_vs_paper,cjk_in_path,likely_generator_script,likely_source_data,deprecated_hint,recommended_disposition,git_tracked
long_term_stability/Fiber10/8.JPG,.jpg,355.9,2026-04-27T04:28Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber10/9.JPG,.jpg,356.2,2026-04-27T04:28Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber11/1.JPG,.jpg,445.8,2026-04-27T04:38Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber11/10.JPG,.jpg,446.3,2026-04-27T04:40Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber11/11.JPG,.jpg,446.4,2026-04-27T04:41Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber11/12.JPG,.jpg,446.3,2026-04-27T04:41Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber11/13.JPG,.jpg,446.1,2026-04-27T04:41Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber11/2.JPG,.jpg,446.2,2026-04-27T04:38Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber11/3.JPG,.jpg,445.6,2026-04-27T04:38Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber11/4.JPG,.jpg,446.0,2026-04-27T04:39Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber11/5.JPG,.jpg,446.5,2026-04-27T04:39Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber11/6.JPG,.jpg,447.6,2026-04-27T04:39Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber11/7.JPG,.jpg,446.5,2026-04-27T04:40Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber11/8.JPG,.jpg,446.7,2026-04-27T04:40Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber11/9.JPG,.jpg,446.6,2026-04-27T04:40Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber12/1.JPG,.jpg,422.0,2026-04-27T04:50Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber12/10.JPG,.jpg,421.9,2026-04-27T04:53Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber12/11.JPG,.jpg,421.5,2026-04-27T04:53Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber12/12.JPG,.jpg,420.7,2026-04-27T04:53Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber12/13.JPG,.jpg,421.2,2026-04-27T04:53Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber12/2.JPG,.jpg,423.1,2026-04-27T04:51Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber12/3.JPG,.jpg,422.0,2026-04-27T04:51Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber12/4.JPG,.jpg,421.3,2026-04-27T04:51Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber12/5.JPG,.jpg,422.2,2026-04-27T04:51Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber12/6.JPG,.jpg,421.0,2026-04-27T04:52Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber12/7.JPG,.jpg,421.8,2026-04-27T04:52Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber12/8.JPG,.jpg,421.8,2026-04-27T04:52Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber12/9.JPG,.jpg,421.7,2026-04-27T04:52Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber13/1.JPG,.jpg,443.4,2026-04-27T05:04Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber13/10.JPG,.jpg,442.8,2026-04-27T05:06Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber13/11.JPG,.jpg,443.2,2026-04-27T05:06Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber13/12.JPG,.jpg,443.6,2026-04-27T05:07Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber13/13.JPG,.jpg,443.4,2026-04-27T05:07Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber13/2.JPG,.jpg,444.1,2026-04-27T05:04Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber13/3.JPG,.jpg,443.8,2026-04-27T05:04Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber13/4.JPG,.jpg,443.7,2026-04-27T05:05Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber13/5.JPG,.jpg,443.1,2026-04-27T05:05Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber13/6.JPG,.jpg,444.3,2026-04-27T05:05Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber13/7.JPG,.jpg,444.0,2026-04-27T05:05Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber13/8.JPG,.jpg,443.8,2026-04-27T05:06Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber13/9.JPG,.jpg,443.4,2026-04-27T05:06Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber14/1.JPG,.jpg,396.8,2026-04-27T12:46Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber14/10.JPG,.jpg,397.4,2026-04-27T12:48Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber14/11.JPG,.jpg,397.7,2026-04-27T12:49Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber14/12.JPG,.jpg,397.4,2026-04-27T12:49Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber14/13.JPG,.jpg,397.4,2026-04-27T12:49Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber14/2.JPG,.jpg,397.1,2026-04-27T12:46Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber14/3.JPG,.jpg,397.3,2026-04-27T12:47Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber14/4.JPG,.jpg,398.3,2026-04-27T12:47Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber14/5.JPG,.jpg,397.6,2026-04-27T12:47Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber14/6.JPG,.jpg,396.7,2026-04-27T12:47Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber14/7.JPG,.jpg,397.1,2026-04-27T12:48Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber14/8.JPG,.jpg,396.6,2026-04-27T12:48Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber14/9.JPG,.jpg,397.0,2026-04-27T12:48Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber15/1.JPG,.jpg,342.5,2026-04-27T12:33Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber15/10.JPG,.jpg,341.9,2026-04-27T12:35Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber15/11.JPG,.jpg,340.4,2026-04-27T12:35Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber15/12.JPG,.jpg,341.6,2026-04-27T12:35Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber15/13.JPG,.jpg,340.9,2026-04-27T12:36Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber15/2.JPG,.jpg,343.1,2026-04-27T12:33Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber15/3.JPG,.jpg,342.5,2026-04-27T12:33Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber15/4.JPG,.jpg,342.9,2026-04-27T12:33Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber15/5.JPG,.jpg,340.6,2026-04-27T12:34Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber15/6.JPG,.jpg,342.0,2026-04-27T12:34Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber15/7.JPG,.jpg,341.8,2026-04-27T12:34Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber15/8.JPG,.jpg,341.9,2026-04-27T12:34Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber15/9.JPG,.jpg,342.7,2026-04-27T12:35Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber2/1.JPG,.jpg,405.2,2026-04-26T13:10Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber2/10.JPG,.jpg,403.3,2026-04-26T13:13Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber2/11.JPG,.jpg,403.0,2026-04-26T13:14Z,other,review_needed,False,,unknown,,review,False
